,Unnamed: 0,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
8119,12729,['2024-07-05T17:02:38Z'],['UgwAF55paHrSSF9gvV94AaABAg'],Rahul Dravid said inku run banane hain virat ku bumrah ku nd then virat be like bumrah ne kabh battin ki 😂😂,[0],[0],rahul dravid said inku run banane hain virat ku bumrah ku nd then virat be like bumrah ne kabh battin ki
8120,12730,['2024-07-05T17:02:31Z'],['UgykQRjgBccz_I8prvR4AaABAg'],Kya prime minister hain vai ❤,[0],[0],kya prime minister hain vai
8121,12731,['2024-07-05T17:02:31Z'],['UgzqxEBCdmpYVdHmDe14AaABAg'],Modi hai toh mumkin hai yeh sab....,[0],[0],modi hai toh mumkin hai yeh sab
8123,12734,['2024-07-05T17:01:59Z'],['UgybeZhf0h4YQfpp59N4AaABAg'],Great work by our honourable pm,[0],[0],great work by our honourable pm
8124,12735,['2024-07-05T17:01:56Z'],['Ugx7jpI5nv1PmhYjz254AaABAg'],Modi ji i love you,[0],[1],modi ji i love you
8125,12739,['2024-07-05T17:01:07Z'],['UgxSC0KHx_ShsH1pTnJ4AaABAg'],Kon kon instagram reels se aaya hain...👉,[0],[0],kon kon instagram reels se aaya hain
8126,12740,['2024-07-05T17:01:02Z'],['UgycGuGUZFfSFFaKS3x4AaABAg'],Well done team india jai modi ji❤❤❤🎉🎉🎉,[0],[0],well done team india jai modi ji
8127,12741,['2024-07-05T17:00:55Z'],['UgycPS7NqWk0dIFfRax4AaABAg'],Bahut achha,[0],[0],bahut achha
8128,12744,['2024-07-05T17:00:24Z'],['UgxWX5TnyxRB_S5uGeB4AaABAg'],Hats off you modi ji,[0],[0],hats off you modi ji
8129,12745,['2024-07-05T17:00:23Z'],['Ugw0cY7AreBLC2n7Vc54AaABAg'],Congratulations Team India 🇮🇳 🇮🇳 🙏 Jai Hind 🙏 Jai Bharat 🙏 Jai Modi Ji 🙏,[0],[0],congratulations team india jai hind jai bharat jai modi ji
8130,12747,['2024-07-05T17:00:18Z'],['UgwTKUEHFLALWEzRNVF4AaABAg'],One of the best video on internet,[0],[0],one of the best video on internet
8131,12748,['2024-07-05T17:00:07Z'],['Ugwrc3lFtrp4KnIO8pB4AaABAg'],Modi hero Rohit hero,[0],[0],modi hero rohit hero
8132,12749,['2024-07-05T17:00:03Z'],['Ugz7hpHS7t3hkHoHwkh4AaABAg'],PMs podcast 🤓,[0],[0],pms podcast
8133,12750,['2024-07-05T17:00:00Z'],['UgxWhuS3vEyBZ-lW6354AaABAg'],Thank you so much Modi g......Father figure for nation.....,[0],[0],thank you so much modi gfather figure for nation
8135,12754,['2024-07-05T16:59:35Z'],['UgxE2fc7LJ5OhctEYSV4AaABAg'],I  request for BCCI shah ji Disable cricket Ko har level dijiye,[0],[0],i request for bcci shah ji disable cricket ko har level dijiye
8136,12755,['2024-07-05T16:59:28Z'],['UgzsjVKPTadmGufDgWh4AaABAg'],"This is speciality of current PM, amazing guy shehzada should learn instead of opposing everything and anything",[0],[0],this is speciality of current pm amazing guy shehzada should learn instead of opposing everything and anything
8137,12756,['2024-07-05T16:59:25Z'],['UgyR3rudwifAu8fSF6F4AaABAg'],Maanyaneeya modi sir  should had meet the wrestlers who protested that might had been a good moment,[0],[0],maanyaneeya modi sir should had meet the wrestlers who protested that might had been a good moment
8138,12762,['2024-07-05T16:59:13Z'],['UgxQ09nn1Mg40pnLtdl4AaABAg'],"Great pm sir 👏🏻👏🏻, well done Rohit Bhai and team ❤",[0],[0],great pm sir well done rohit bhai and team
8139,12764,['2024-07-05T16:59:06Z'],['UgyDnRERNl8LahRAdW94AaABAg'],Rohitman...absolute talent h...,[0],[1],rohitmanabsolute talent h
8140,12765,['2024-07-05T16:59:02Z'],['UgzrqFQHEUc82B080694AaABAg'],COOL INDIAN PM WITH COOL INDIAN TEAM !!!🙂🙂🙂🙂,[0],[0],cool indian pm with cool indian team
8141,12767,['2024-07-05T16:58:55Z'],['Ugz6w-6hfOxLLbAkQ4B4AaABAg'],Plz Support all Team members ❤ like 😢 kordo .,[0],[0],plz support all team members like kordo
8142,12770,['2024-07-05T16:58:39Z'],['Ugz81k0upSNhXkZw2CF4AaABAg'],Thanks modi ji team india ko or inspiration ke liye,[0],[0],thanks modi ji team india ko or inspiration ke liye
