,Unnamed: 0,Published_At,Comment_ID,Comment,Replies,Likes,all_eng
0,0,['2025-03-04T03:44:31Z'],['Ugy_p3rAg3mr7ugRQI94AaABAg'],Watching today❤,[0],[0],watching today
2,4,['2025-03-03T17:46:51Z'],['UgzmKncKRQXL41MQBol4AaABAg'],SA donated the Cup to India.  These SA players cannot break the shackles of a Choker tag.,[0],[0],sa donated the cup to india these sa players cannot break the shackles of a choker tag
4,8,['2025-03-03T10:13:26Z'],['UgyIEqrwZqO0-T8kVaV4AaABAg'],I am crying 😭,[0],[0],i am crying
5,9,['2025-03-03T06:40:47Z'],['UgyEAYG9exCnZf5oe3x4AaABAg'],Uff the commentary is at its best..❤❤❤,[0],[0],uff the commentary is at its best
7,13,['2025-03-02T06:51:57Z'],['UgxTIJlHxJ3n0oRQOPp4AaABAg'],❤forever INDIA❤,[0],[0],forever india
8,15,['2025-03-02T04:17:41Z'],['UgzxscBBY4J9BeOFoWJ4AaABAg'],One of the most memorable final match ever,[0],[0],one of the most memorable final match ever
10,17,['2025-03-01T19:04:58Z'],['UgzKbg83acvdCswFZSh4AaABAg'],EPIC FINAL CATCH &amp; MATCH EVER....,[0],[0],epic final catch amp match ever
11,19,['2025-03-01T08:17:01Z'],['Ugz08WF80kJjFjbJCad4AaABAg'],✨what to type..i dont know ❤️Hoping for the Champions Trophy now🇮🇳,[0],[0],what to typei dont know hoping for the champions trophy now
12,23,['2025-02-28T08:56:35Z'],['Ugx7Niyob-XACVnG6Cp4AaABAg'],Came back to see that catch by Surya 🇮🇳,[0],[0],came back to see that catch by surya
13,24,['2025-02-28T01:50:47Z'],['UgwDX4TiAQ0Oy-PTXPV4AaABAg'],Tears do not stop after seeing this❤,[0],[0],tears do not stop after seeing this
14,25,['2025-02-27T20:56:30Z'],['UgxDnHZpV0ezWS55QSV4AaABAg'],PURE. CINEMA. PERIOD.,[0],[0],pure cinema period
16,27,['2025-02-27T16:56:07Z'],['UgxmNJVKgQKu5T4S4MF4AaABAg'],A moment never to be forgotten. Team India played so well. Thank you Hardik,[0],[1],a moment never to be forgotten team india played so well thank you hardik
17,28,['2025-02-27T16:39:52Z'],['UgwsfnbT4YjPKxwR2wp4AaABAg'],"I am happy India won the world cup😀, but I feel very much sad for South Africa and especially (Heinrich Klaasen)😓",[0],[0],i am happy india won the world cup but i feel very much sad for south africa and especially heinrich klaasen
18,30,['2025-02-27T15:01:08Z'],['UgxeWUcuQsCKt5u7WwR4AaABAg'],Pant ne jo break liya vo best tha then india comback 😊,[0],[1],pant ne jo break liya vo best tha then india comback
19,31,['2025-02-27T14:15:07Z'],['UgwEMUTTQ_2Q_kPzBJl4AaABAg'],This is not a movement this is imotion 🥺🥺,[0],[0],this is not a movement this is imotion
20,32,['2025-02-27T12:05:11Z'],['Ugzc5OQzSCIe_-9lexp4AaABAg'],we won bt feeling for south africa i pray to god  that they should win wtc final.............pls god one to them pls god,[0],[1],we won bt feeling for south africa i pray to god that they should win wtc finalpls god one to them pls god
22,35,['2025-02-27T02:44:18Z'],['Ugw33_g8E4SSQjDehIh4AaABAg'],I’m English but no one will ever be able to persuade me South Africa didn’t choked this rather than India brilliance.,[0],[1],im english but no one will ever be able to persuade me south africa didnt choked this rather than india brilliance
24,38,['2025-02-26T17:01:35Z'],['Ugy1hdJM3cDBuVjyTBJ4AaABAg'],What about editing. Hats off,[0],[0],what about editing hats off
25,39,['2025-02-26T05:35:01Z'],['Ugxtkk666_TfPQmL3lV4AaABAg'],Klasan you r brilliant player,[0],[0],klasan you r brilliant player
26,41,['2025-02-25T16:59:06Z'],['Ugx-kCf-yeqywJUHAit4AaABAg'],Real stars 🤩🌠,[0],[0],real stars
27,43,['2025-02-25T14:06:25Z'],['UgzM0nwbvGq1YpFPuoh4AaABAg'],Cinema at its best!!,[0],[0],cinema at its best
29,45,['2025-02-25T10:46:26Z'],['UgzyxapXQzzwH23nc8N4AaABAg'],I cried a lot on that day🇮🇳,[0],[1],i cried a lot on that day
31,47,['2025-02-25T09:33:38Z'],['UgzneHqlmYz_4PNcWkl4AaABAg'],HARDIK Shubhkamnaye,[0],[0],hardik shubhkamnaye
32,48,['2025-02-25T09:32:03Z'],['Ugxp-DjtcoTYvN8CnUJ4AaABAg'],Coole🤒st 😎😎 moment,[0],[0],coolest moment
33,51,['2025-02-24T07:58:31Z'],['UgxJMICtgunIi1h60SJ4AaABAg'],"Indian players main in final hardik,surya,bumrah",[0],[0],indian players main in final hardiksuryabumrah
34,52,['2025-02-24T07:45:39Z'],['Ugw7QrpiLrLRS38D-IV4AaABAg'],Pakistani yo ka maa ka yaar hai my India,[0],[0],pakistani yo ka maa ka yaar hai my india
35,53,['2025-02-23T17:13:26Z'],['UgxTGuOx0Z9brsEK0vl4AaABAg'],Hardik pandya such a character....how mentally touch he is 😢,[0],[0],hardik pandya such a characterhow mentally touch he is
36,54,['2025-02-23T17:08:34Z'],['Ugx541fdSUe_N84Feu94AaABAg'],Will always keep coming back and watching this world cup victory. Always makes my day a little more better 😊,[0],[1],will always keep coming back and watching this world cup victory always makes my day a little more better
37,55,['2025-02-23T07:21:14Z'],['UgziFv1LrX6F62ajk594AaABAg'],Goosebumps every time I watch this🙏🏻,[0],[0],goosebumps every time i watch this
38,56,['2025-02-23T02:24:13Z'],['UgwGreJXWnYr1IgQX9V4AaABAg'],When rohit digged the Indian Flag ❤ 🇮🇳,[0],[0],when rohit digged the indian flag
39,57,['2025-02-22T14:30:46Z'],['UgwhlxCi0VUI6r_uAjJ4AaABAg'],We can clearly see the emotion of hardik while bowling the last ball....he started runup by crying,[0],[2],we can clearly see the emotion of hardik while bowling the last ballhe started runup by crying
40,58,['2025-02-22T12:06:19Z'],['UgyIvNk_p4RY5tGf1kd4AaABAg'],Everytime I watch this I literally feel goosebumps! I still remember that day I was sitting in the same pose on my sofa. What an intense match it was.. it was RP who broke the rhythm of klassen and then Hardik Pandya did the rest job!,[0],[0],everytime i watch this i literally feel goosebumps i still remember that day i was sitting in the same pose on my sofa what an intense match it was it was rp who broke the rhythm of klassen and then hardik pandya did the rest job
41,59,['2025-02-22T08:17:54Z'],['UgzX3kOMpKPfwbcsf3N4AaABAg'],Its time of champions Trophy edit  @ICC,[0],[8],its time of champions trophy edit icc
42,60,['2025-02-21T16:57:46Z'],['UgzLTXZR5A4pu1jNdux4AaABAg'],Fact!!: This is not your first time seeing this!!,[0],[0],fact this is not your first time seeing this
45,65,['2025-02-19T17:35:07Z'],['Ugxxh2uT8Z7ypeWx0u54AaABAg'],We need same moment ICC champion trophy,[0],[0],we need same moment icc champion trophy
46,66,['2025-02-19T16:31:49Z'],['UgwmYGyBdlMZjxhumRR4AaABAg'],The match was not less than a thriller script,[0],[1],the match was not less than a thriller script
47,68,['2025-02-18T17:46:03Z'],['Ugx8t4MQEP5MUiuECA94AaABAg'],Nagaur Rajasthan se kon kon dekh rha h,[0],[0],nagaur rajasthan se kon kon dekh rha h
48,69,['2025-02-17T12:22:30Z'],['Ugw-yX_awdjADExLuxJ4AaABAg'],Ian bishop is the greatest commentator in cricketer,[0],[2],ian bishop is the greatest commentator in cricketer
49,70,['2025-02-17T05:44:22Z'],['Ugy-753enMI9fdHLh594AaABAg'],Anyone on champions trophy 😂,[1],[16],anyone on champions trophy
50,72,['2025-02-16T08:45:04Z'],['UgzvJaBRamAWGKYlTm54AaABAg'],Ankho me ansu ayatha match dekhkar,[0],[2],ankho me ansu ayatha match dekhkar
52,74,['2025-02-15T11:28:30Z'],['UgyNNd8JPYqytfMUrj54AaABAg'],Lora,[0],[0],lora
53,75,['2025-02-15T08:50:20Z'],['Ugwkc5DtLA5L_Ey4-9J4AaABAg'],Kise ka dil juda toh kisa ka sil tuta,[0],[1],kise ka dil juda toh kisa ka sil tuta
55,77,['2025-02-14T21:59:41Z'],['UgyRnpsfhvjCgLnuhZB4AaABAg'],"I rarely support Indian team as Im Pakistan cricket team fan but my God, this match.... I was team INDIA all the way. They really deserved it. Every inch of the success. They deserved it.",[0],[1],i rarely support indian team as im pakistan cricket team fan but my god this match i was team india all the way they really deserved it every inch of the success they deserved it
56,78,['2025-02-14T14:24:20Z'],['UgzuVNOeIYyDNzeqne54AaABAg'],"Hardik, the clucth master ⭐",[0],[4],hardik the clucth master
57,79,['2025-02-14T13:07:37Z'],['Ugz066lPSGCMYRGO4m54AaABAg'],Let’s go India,[0],[0],lets go india
58,80,['2025-02-14T11:16:47Z'],['UgyC_rDrbaYqQM613ll4AaABAg'],India will champion trophy 🎉❤🎉❤🎉❤,[0],[0],india will champion trophy
59,81,['2025-02-14T10:45:49Z'],['Ugxm6CtEP11b0TH3df94AaABAg'],Shandaar match,[0],[0],shandaar match
61,83,['2025-02-12T06:06:23Z'],['UgyKwSr82sIAOcCf5k54AaABAg'],Who saw Surya catch live,[0],[6],who saw surya catch live
62,85,['2025-02-12T04:58:48Z'],['UgwhfVqz5nfK5DyOcUl4AaABAg'],I only believe on jassi bhai he is a game changer player,[0],[1],i only believe on jassi bhai he is a game changer player
63,86,['2025-02-12T02:31:39Z'],['Ugyn9n713D0wGFfaAet4AaABAg'],Hope so India will repeat this in champion trophy also 🇮🇳🇮🇳,[0],[0],hope so india will repeat this in champion trophy also
64,87,['2025-02-11T14:33:50Z'],['UgwCepegupcfkNEODy94AaABAg'],what a memory,[0],[1],what a memory
65,88,['2025-02-11T13:20:19Z'],['UgxdUVESxbqYHdj3rTF4AaABAg'],Jetna baar dekho maan nahin bharta,[0],[0],jetna baar dekho maan nahin bharta
66,89,['2025-02-11T11:05:15Z'],['UgzdmuvNEK4ExDlw2uV4AaABAg'],"Im hooked on roulette lately. Watching that wheel spin is just mesmerizing, isnt it",[0],[0],im hooked on roulette lately watching that wheel spin is just mesmerizing isnt it
67,90,['2025-02-11T11:05:04Z'],['Ugwni7YGjf5qAhsSvQd4AaABAg'],Ive actually been getting into the cricket betting. The live updates make it so much more thrilling,[0],[1],ive actually been getting into the cricket betting the live updates make it so much more thrilling
72,95,['2025-02-11T06:21:19Z'],['UgzY6czRwuzml1SBVoB4AaABAg'],Respect for editor...❤,[0],[1],respect for editor
73,96,['2025-02-11T05:55:33Z'],['UgxswHqhL6zR8V_sklN4AaABAg'],"whenever life feels pointless, i revisit this.",[0],[0],whenever life feels pointless i revisit this
74,97,['2025-02-10T19:22:38Z'],['UgxWB7EYKJFMO-dAIHh4AaABAg'],&quot;whats a Wordcup without records being broken&quot;,[0],[2],quotwhats a wordcup without records being brokenquot
75,98,['2025-02-10T17:18:47Z'],['UgyRfB-e5YJf2cr3ARJ4AaABAg'],Pakistan (Abbu world cup jeet gaye )❤❤❤,[0],[0],pakistan abbu world cup jeet gaye
77,100,['2025-02-10T05:49:31Z'],['UgzRvtk_BdR4rZPXNKx4AaABAg'],Still give goosebumps,[0],[1],still give goosebumps
78,101,['2025-02-09T21:11:05Z'],['UgxzHrj-1xUEjWtDnR14AaABAg'],The most thriller final,[0],[0],the most thriller final
79,102,['2025-02-08T18:19:54Z'],['UgyOdD3k7B1SuKuzlIh4AaABAg'],Watching this before going to sleep to forget bad form of RO-KO and BGT loss,[0],[1],watching this before going to sleep to forget bad form of roko and bgt loss
80,103,['2025-02-08T07:03:58Z'],['UgwN9EYYWu3HvEF0IEd4AaABAg'],This World Cup Final is full of emotions ❤️❤🙏❤️❤️🙏❤️❤️....Best ever World Cup....nail biting thriller match,[0],[0],this world cup final is full of emotions best ever world cupnail biting thriller match
81,104,['2025-02-08T06:59:00Z'],['UgwGWNGmNKzwpe-7jCp4AaABAg'],Hardik pandya 🔥🔥🔥🔥 The hero💥💥💥,[0],[0],hardik pandya the hero
83,106,['2025-02-08T04:59:59Z'],['UgwcxEV2sU-1Fu0bWhd4AaABAg'],Pure gossbums,[0],[0],pure gossbums
85,111,['2025-02-07T16:12:15Z'],['Ugwmn63X3Q_f3fpoZ8t4AaABAg'],captain sharma ji...one more trphy for india...,[0],[0],captain sharma jione more trphy for india
86,113,['2025-02-05T21:19:47Z'],['Ugxt8vvhXbdMZ_oHMTF4AaABAg'],"My Golden era , gonna share with my kids one day",[0],[0],my golden era gonna share with my kids one day
87,118,['2025-02-04T13:17:43Z'],['UgyMJlM3m-I-hD4G0xx4AaABAg'],No bumrah no cup😊,[2],[0],no bumrah no cup
88,119,['2025-02-04T06:03:03Z'],['Ugzm3lBIvwURACUDa8F4AaABAg'],Jasprit bumrah pride of India🇮🇳,[0],[0],jasprit bumrah pride of india
90,121,['2025-02-03T08:04:52Z'],['UgxTQmELjuMydWx6sfd4AaABAg'],"What a movie, absolutely banger.......",[0],[0],what a movie absolutely banger
91,122,['2025-02-03T03:36:40Z'],['UgwJOxdjZUmjQollBjl4AaABAg'],Skins come to shiver thats what this means to Indians 🇮🇳,[0],[3],skins come to shiver thats what this means to indians
92,123,['2025-02-02T05:04:17Z'],['Ugwjto5D_SiBrYSmguR4AaABAg'],"First world cup when there wasnt South Africa, second when India in south africa,and third world cup there was coach from south africa,and in fourth world there was oposite site of south africa 😂😂",[0],[1],first world cup when there wasnt south africa second when india in south africaand third world cup there was coach from south africaand in fourth world there was oposite site of south africa
93,124,['2025-02-01T12:53:43Z'],['Ugw3_tdyhbZKvNS_1iB4AaABAg'],ICC finals with Ian Smiths commentary  Match made in heaven😁😁😌😌,[0],[1],icc finals with ian smiths commentary match made in heaven
94,125,['2025-02-01T12:21:54Z'],['UgztPl7YLcR4C5Q8CUR4AaABAg'],Jassi jesa koi nahi ❤,[0],[0],jassi jesa koi nahi
100,132,['2025-01-31T14:43:09Z'],['Ugxn8V09L7nJxTVb_yd4AaABAg'],Hardik redemption Arc,[0],[0],hardik redemption arc
101,134,['2025-01-31T13:52:40Z'],['UgxvBzwtcssACzUFJmB4AaABAg'],Sandeep,[0],[0],sandeep
102,135,['2025-01-31T04:16:34Z'],['Ugwt0VToG660s1IOHqB4AaABAg'],Underrated hero rishabh pant😂,[0],[0],underrated hero rishabh pant
103,136,['2025-01-30T14:01:14Z'],['UgzkPvsaVx8MPrJ2Nex4AaABAg'],Jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne 😎😎😎🗿🗿🗿👽,[0],[1],jay sah ne bola tha jhanda gadenge gaad diya rohit bhai ne
104,137,['2025-01-29T11:57:15Z'],['UgwZvRMYZnPVs80aqhp4AaABAg'],Always tears in my eyes when saw this video😢😢😢😢,[0],[0],always tears in my eyes when saw this video
106,140,['2025-01-28T18:41:31Z'],['UgxohxpBPsN7zGHECcF4AaABAg'],What a edit by icc,[0],[0],what a edit by icc
110,145,['2025-01-27T22:24:04Z'],['UgyhTGP_Kw1d4Evphp54AaABAg'],India Will Win Because Jasprit Bumrah Wicket,[0],[0],india will win because jasprit bumrah wicket
111,146,['2025-01-27T06:11:49Z'],['Ugzh3jpfBGiK-vQ_2854AaABAg'],Feeling very much happy when Aiden Markram was crying😂😂😂,[0],[0],feeling very much happy when aiden markram was crying
112,147,['2025-01-27T06:07:54Z'],['UgxqU6ygxF3fkGFzacB4AaABAg'],Really Goosebumps 🙌,[0],[2],really goosebumps
113,148,['2025-01-26T16:57:24Z'],['UgyvY83rLExwn_Ac-194AaABAg'],Its time for champions trophy🔥,[0],[1],its time for champions trophy
114,149,['2025-01-26T12:11:02Z'],['UgwRUhKc1dM7aN8qIfZ4AaABAg'],One of the greatest catches when you looks at the occasion and pressure.,[0],[0],one of the greatest catches when you looks at the occasion and pressure
117,152,['2025-01-25T18:28:31Z'],['Ugwk9yFKGMpe-2k1Sid4AaABAg'],Video 🔥,[0],[0],video
118,153,['2025-01-25T14:36:49Z'],['UgwFGY4HAxRr7INvK0F4AaABAg'],Kuldeep the ultimate choker 😢 hope Varun plays in champion trophy,[0],[0],kuldeep the ultimate choker hope varun plays in champion trophy
120,155,['2025-01-25T09:49:27Z'],['Ugz5SefNpCjxPwigqqJ4AaABAg'],Respect for South Africa TEAM,[0],[0],respect for south africa team
121,157,['2025-01-25T04:55:21Z'],['Ugxf_440eZbpDOKTcDt4AaABAg'],Klasen Ki Batting dekh kar kis kiske gote munh me aa gaye the 😂,[0],[0],klasen ki batting dekh kar kis kiske gote munh me aa gaye the
122,158,['2025-01-25T02:48:23Z'],['Ugy3YMydCO_6YwkQGst4AaABAg'],Thanks to India because When ever I feel low I Watched this video,[0],[0],thanks to india because when ever i feel low i watched this video
123,159,['2025-01-24T19:49:16Z'],['Ugwkp5r_pIMF-8pZJGl4AaABAg'],What a moment India after winning tha cup,[0],[0],what a moment india after winning tha cup
124,161,['2025-01-24T13:23:52Z'],['UgyjkGmc1ZfsHlYOhBp4AaABAg'],Last few seconds - Emotions at peak.,[0],[0],last few seconds emotions at peak
125,162,['2025-01-24T06:12:01Z'],['UgyHDw4Seq7KntWnTDZ4AaABAg'],This is the one of those video that i can watch everyday 😊❤😅,[0],[0],this is the one of those video that i can watch everyday
126,163,['2025-01-24T04:53:11Z'],['Ugzr1riw-QVcmO-q0gV4AaABAg'],South Africa 😢 but I am Indian,[0],[0],south africa but i am indian
127,165,['2025-01-23T09:16:40Z'],['UgxT4KG9SU9XV3CJrwB4AaABAg'],What happens to sa in icc tournaments,[0],[0],what happens to sa in icc tournaments
128,167,['2025-01-22T07:01:19Z'],['UgwxmYJDOQsUwycw9BZ4AaABAg'],Everything is great but nothing can beat LONG ONNNNN LONG ONNNNNNNN LONG ONNNNNNNNNNNNNNNNNN SURYA KUUUUUUUMAR YADAV,[0],[0],everything is great but nothing can beat long onnnnn long onnnnnnnn long onnnnnnnnnnnnnnnnnn surya kuuuuuuumar yadav
130,169,['2025-01-21T07:56:25Z'],['Ugx8fhfB6mwqtcyNGnZ4AaABAg'],All time best match 😍❤❤❤❤😌😞❤,[0],[1],all time best match
134,176,['2025-01-20T05:35:11Z'],['UgyMMlbHT3ICD4jX8Ol4AaABAg'],South Africa are real choker of world cricket,[1],[0],south africa are real choker of world cricket
135,178,['2025-01-19T21:52:49Z'],['Ugy80tQE-uU6mz_ChrB4AaABAg'],Long off will be always remembered ❤❤,[0],[0],long off will be always remembered
136,179,['2025-01-19T20:13:33Z'],['UgzWoc6TNfWMvxJBkmJ4AaABAg'],This wc was really the most important wc for india,[0],[0],this wc was really the most important wc for india
137,180,['2025-01-19T16:53:39Z'],['UgxNzDaLv2rA0J6-3qh4AaABAg'],why no one talk about hardik,[0],[0],why no one talk about hardik
139,183,['2025-01-19T03:59:53Z'],['UgwrPvX_uD_oyI1H9FV4AaABAg'],Heart breaking for the two nations having GREEN colour on their JERSEY.,[0],[0],heart breaking for the two nations having green colour on their jersey
140,184,['2025-01-18T18:03:36Z'],['UgzxR2Bm_5qDGYEqv9N4AaABAg'],This one for israel 😊,[0],[1],this one for israel
142,187,['2025-01-18T10:26:33Z'],['UgzF9yy4Lkr8uOWnr6x4AaABAg'],Our bowling 😮,[0],[0],our bowling
144,190,['2025-01-18T08:13:21Z'],['UgyGiNW-b7NWAxjD_pt4AaABAg'],And from here we got &quot;I only believe in Jassi bhai game changer player he is&quot; ❤️,[0],[0],and from here we got quoti only believe in jassi bhai game changer player he isquot
145,192,['2025-01-18T00:29:05Z'],['Ugzkq-vE2D0rRwtKZEp4AaABAg'],Long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch,[0],[0],long off long off long off surya kumar yadav surya kumar yadav ne pakda apni life ka sabse important catch
147,194,['2025-01-17T12:06:08Z'],['UgwbdbVgERQAaXZTOeR4AaABAg'],Hardik pandya should be the captain,[0],[1],hardik pandya should be the captain
149,198,['2025-01-16T15:47:23Z'],['UgzX--Eix1pFIwHt3Ct4AaABAg'],Love you India ❤ From Bangladesh 🎉,[0],[1],love you india from bangladesh
150,200,['2025-01-16T09:31:13Z'],['UgxvXScJqXTDEeN6fSV4AaABAg'],Pakistan cricket is finished 😂😂😂😂,[0],[1],pakistan cricket is finished
151,201,['2025-01-15T20:04:31Z'],['UgyjfV8ueyro8zdBclB4AaABAg'],This video gives me literal goosebumps. Proud to be an Indian  🇮🇳🇮🇳,[0],[0],this video gives me literal goosebumps proud to be an indian
153,203,['2025-01-15T10:11:21Z'],['UgzHHP09dPVVM3VAtSx4AaABAg'],Clutch god Hardik 🎩,[0],[1],clutch god hardik
154,204,['2025-01-15T05:18:42Z'],['Ugz9Tk2FmXO2G5C4Tlh4AaABAg'],This video like a action movie 🎥 trailer.,[0],[1],this video like a action movie trailer
157,207,['2025-01-14T13:27:37Z'],['UgyxO3HfTkUze0EEPbV4AaABAg'],Yeh video dekh ta hai toh ajj bhi Rona ata hain 😭😭😭😭kya din tha yeh din,[0],[0],yeh video dekh ta hai toh ajj bhi rona ata hain kya din tha yeh din
158,208,['2025-01-14T10:55:17Z'],['UgwVmeT_ECvPbrdbWGF4AaABAg'],every second is a goosebump for us,[0],[1],every second is a goosebump for us
159,211,['2025-01-13T18:15:22Z'],['UgwXlM068edZM57Xvw94AaABAg'],Everytime i see i get tears in my eyes ❤❤ the tears of joy. Thanku team india we love you  for this amazing experience ❤❤❤❤,[0],[1],everytime i see i get tears in my eyes the tears of joy thanku team india we love you for this amazing experience
160,212,['2025-01-12T04:42:12Z'],['UgwF367zBOQfhy5S3kV4AaABAg'],Upload full match highlights 😢😢,[0],[1],upload full match highlights
161,213,['2025-01-11T17:52:30Z'],['UgzgjBqNkWMyFuPS4254AaABAg'],Editing deserves a special award ❤,[0],[0],editing deserves a special award
162,214,['2025-01-11T15:21:58Z'],['Ugxme5NvXiCFVnCmRbZ4AaABAg'],Test or odi match spell shami .harshadeep.boomra,[0],[0],test or odi match spell shami harshadeepboomra
164,217,['2025-01-10T10:33:07Z'],['Ugw-rb4xTE-VtA3JMyl4AaABAg'],IAN SMITH MAN O MAN WHAT A VOICE HE HAS 🥵,[0],[0],ian smith man o man what a voice he has
165,218,['2025-01-10T09:42:51Z'],['Ugy4OOpHjOZpiPmRANV4AaABAg'],Im crying now also after seeing this vedio🥺❤🔥,[0],[0],im crying now also after seeing this vedio
166,219,['2025-01-10T07:49:35Z'],['UgwBtn-7wJ-5UGwh0eF4AaABAg'],I am not crying its just something in the eye.,[0],[0],i am not crying its just something in the eye
169,223,['2025-01-09T11:13:55Z'],['UgzWGAG7c_X1Y9cRVE14AaABAg'],One of the best cricket world cup final ever played❤❤❤❤,[0],[0],one of the best cricket world cup final ever played
170,224,['2025-01-09T09:42:28Z'],['UgxEuZpkAvi_fr-SouF4AaABAg'],busting a nut to this,[0],[0],busting a nut to this
171,225,['2025-01-09T09:23:07Z'],['UgyzUsIRbaDPccqU4cF4AaABAg'],Best memories ❤,[0],[0],best memories
172,226,['2025-01-09T08:15:01Z'],['Ugyz0f4JY3MrDWIl7f14AaABAg'],Lets win that Champions Trophy now,[0],[0],lets win that champions trophy now
174,228,['2025-01-09T00:56:33Z'],['UgysZ2gKpOw19177hUV4AaABAg'],"Superb editing, loved it from every corner.",[0],[0],superb editing loved it from every corner
176,230,['2025-01-08T09:39:36Z'],['Ugy-4LkpI9tufKa6yjF4AaABAg'],Want ghosebums watch this on repeat ❤,[0],[0],want ghosebums watch this on repeat
177,231,['2025-01-08T08:04:18Z'],['UgxfvSkvHBdBt4jfMLl4AaABAg'],Anyone after BGT 😢,[0],[1],anyone after bgt
178,232,['2025-01-08T03:00:38Z'],['Ugyk5gWmNLilltow2w54AaABAg'],"Maybe Im biased, but where is Malik for the bowlers? When you have one of the fastest bowlers in IPL history on your side, why not have Kohli coach him a bit on some bowls and have him get more wickets? Seems like a waste, but SO PROUD that INDIA won. Much Deserved!",[0],[0],maybe im biased but where is malik for the bowlers when you have one of the fastest bowlers in ipl history on your side why not have kohli coach him a bit on some bowls and have him get more wickets seems like a waste but so proud that india won much deserved
179,234,['2025-01-07T14:56:46Z'],['UgzAsRSgcsi1mN0pD1B4AaABAg'],How many times have you watched this  Me: YES,[0],[1],how many times have you watched this me yes
180,236,['2025-01-07T04:01:35Z'],['UgzioQhQYUleyCNTAyt4AaABAg'],BGT Harne Ka dukh tha phir Yeh Video Dekh Liya...Sokoon ..❤️,[0],[2],bgt harne ka dukh tha phir yeh video dekh liyasokoon
181,237,['2025-01-06T18:38:45Z'],['UgzqYJuOA0D0hvrvAZV4AaABAg'],after BGT loss,[0],[0],after bgt loss
182,238,['2025-01-06T16:09:58Z'],['UgztnLOrJlnBQhFwm-94AaABAg'],Is match ka hero axar Patel tha 🎉,[0],[0],is match ka hero axar patel tha
183,239,['2025-01-06T14:32:22Z'],['UgwBROutIHzxB1FT1XN4AaABAg'],Indian cricket team great memories,[0],[0],indian cricket team great memories
185,242,['2025-01-06T08:01:09Z'],['Ugw4CiNMO_sx83q7uZV4AaABAg'],Watch this video thousands of times. Still it feels satisfying!,[0],[0],watch this video thousands of times still it feels satisfying
187,245,['2025-01-05T02:51:05Z'],['Ugwb3htB7YwG3bA0hph4AaABAg'],My eyes are filled with water. I dont know why? Its un stopbale. This is nation pride,[0],[0],my eyes are filled with water i dont know why its un stopbale this is nation pride
188,248,['2025-01-03T12:44:41Z'],['UgwypsnDQhnU49sF2Fh4AaABAg'],India your father,[0],[0],india your father
189,250,['2025-01-02T09:16:27Z'],['UgwsDWRNz81gbYkHTNx4AaABAg'],Again this was not possible without Bumrah!,[0],[0],again this was not possible without bumrah
191,252,['2025-01-02T02:06:38Z'],['UgydjBcFsJiAh4-3qAx4AaABAg'],I believe on jassi bhai 🗿🥶,[0],[1],i believe on jassi bhai
194,255,['2025-01-01T08:46:04Z'],['UgwIeZ2CQgzkhCMSRNh4AaABAg'],Goose bumps moment 💐,[0],[0],goose bumps moment
197,260,['2024-12-31T10:25:37Z'],['UgxaiCrJHaXQdhqaJvB4AaABAg'],Hare Krishna ❤️🙏🏽,[0],[0],hare krishna
199,262,['2024-12-31T02:31:25Z'],['UgzNO76I4-amcb525Gp4AaABAg'],Background bgm always increasing the Goosebumps 🔥,[0],[0],background bgm always increasing the goosebumps
201,264,['2024-12-30T04:21:13Z'],['Ugymiz9qWN6H3lsVnL94AaABAg'],Please next match come here to,[0],[0],please next match come here to
202,265,['2024-12-30T04:19:53Z'],['Ugw1IC8B9cfY8O6qhyt4AaABAg'],Who win who win who win🎉🎉🎉🎉🎉🎉🎉🎉🎉🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳,[0],[0],who win who win who win
203,266,['2024-12-29T11:15:31Z'],['UgzXdpHxz3O5D68xc8t4AaABAg'],Pak be like: proud of my father 😊,[0],[0],pak be like proud of my father
205,269,['2024-12-27T09:41:39Z'],['UgzQu2O1ewQ5U8KKeal4AaABAg'],I had a goosebumps when klassen and miller were hitting but when Hardik take the wicket my goosebumps were over  and then Surya take the best catch and we won,[0],[0],i had a goosebumps when klassen and miller were hitting but when hardik take the wicket my goosebumps were over and then surya take the best catch and we won
206,270,['2024-12-26T11:34:50Z'],['UgyQy6Hzvrmdi00rGxt4AaABAg'],Congratulations Bangladesh your grandfather win the world cup 😂😂😂,[0],[1],congratulations bangladesh your grandfather win the world cup
207,271,['2024-12-26T07:49:14Z'],['UgwrOL7WWNf01Wq_-lF4AaABAg'],The same day when whole cricket world was cried with happyly and all Viratian Cried 😢,[0],[1],the same day when whole cricket world was cried with happyly and all viratian cried
208,272,['2024-12-26T07:09:49Z'],['UgzmzJhlsMaPeBpDd4d4AaABAg'],This is Epic !!!,[0],[0],this is epic
